,Unnamed: 0,reviews,Sentiment,Analysis
10,10,flown route easyjet regularly twenty year age boarding nice become chaotic wearing l decided pay significant extra amount see ba better outward flight heathrow great acceptable l attempted checkin return l discovered booking time l booked l recovering serious illness assumed l must made mistake considerable panic l booked last minute flight considerable cost easyjet boarding usual shamble flying gatwick rather heathrow way get home taxi rather bus fare heathrow arrival home l discovered email confirmation return flight ba immediately contacted complain ask financial compensation two week since sent two apology slow response nothing else far elderly friend say find travelling british airway stressful travel outside uk help environment seems remarkable airline industry uk deteriorated extent unfortunately jal singapore l used happily many year fly within europe,0.9857,Positive
11,11,last minute business trip hnd route regularly fly overall good experience new club world offering personally like find plenty room although say little tight arrived lhr plenty time used first class wing eligible due exec club status great see security lane reopen efficient due new need empty bag scanner additionally first class lounge busy usual nice experience boarding gate bus probably least enjoyable part journey uncommon flight use baffle large number passenger need take scenic journey past gate b gate finally c gate arriving aircraft even passing empty airbridge gate route boarding well organised real announcement started checking people bag pre boarding announcement confused people thought general boarding started moving forward group opened got front queue group began boarding separate line many people waiting board bus enough room onboard aircraft clean like ife offering new club world unfortunately find crew particularly welcoming engaging know lot passenger long flight much smiling customer service one point walk galley toilet return crew member talking one particular blocking way looking proceeded continue offer et past eventually inflight manager moved one side pas another occasion went request drink effectively scowled look felt like want disturbing point generally good flight time arrival hnd,0.9775,Positive
12,12,overall would say disappointing due ba status lounge access small side busy aircraft used remote gate boarding well organised group status manage make way onto first bus arrival aircraft plane still prepared wait bus minute everyone becoming little irritable turn inbound flight number complex wheelchair passenger needed assistance delayed took long amount time arrive minute waiting bus finally boarded aircraft captain apologised delay mention crew seat standard euro traveller service okay crew particularly engaging tried order coffee due seatbelt sign result minor turbulence told possible crew member reached two row behind seatbelt sign turned come back ask would still like coffee overall arrived lhr hour late tug move aircraft lisbon wait gate lhr disappointing worst flight,-0.7441,Negative
13,13,lhr delhi business exceptional flight stylish quirky b gate lounge interesting modern eclectic food plus whispering angel bar food board delicious well presented friendly fun relaxed crew blend deference self deprecation familiarity flying ba year various class probably best great job ba,0.9788,Positive
14,14,efficient smooth flight start finish cabin crew attentive bubbly clean aircraft mcvities snack nice touch even coffee bag unexpectedly nice everything praise nothing complain,0.9414,Positive
15,15,told take hand luggage onto plane overhead cabin already full put hold aircraft door frustrating hand luggage avoid delay heathrow bag arrive baggage belt min waiting spend another min filling form etc told bag still madrid know time decency inform u waited arrive hour later communication ba terrible unnecessary experience badly handled ba many people bag big hand luggage hence cabin full everyone boarded unfair helping informing u fact leave madrid double level incompetence,-0.8126,Negative
16,16,flight comfortable enough hour delay return leg however leg told put small expensive cabin case hold flight full done amused see passenger bringing much larger case cabin ba stick cabin bag size limit inconvenience comply,0.3182,Neutral
17,17,really good flying experience ba travelling young family flight left time even arrived early nearly one flight food generous quite tasty economy class crew coming around water drink throughout flight checked luggage also arrived safely undamaged vce return flight yul flight crew attentive friendly helpful u child especially gentleman served u return flight vce yul march th b interior really dated really need updated compete european counterpart panel squeaking loudly hit turbulence seat cover coming seat tray table level loose eating ife b worked fine definitely responsive newer larger screen like one b thankfully b interior updated one flew clogged sink one lavatory created problem passenger unfortunately nearly flight garbage left seat pocket floor quite clean incoming flight lhr b assigned gate arrived early airport resulted significant delay airport bus get plane also slowed deplaning process would definitely consider flying trans atlantic ba received value service fare paid,0.9802,Positive
18,18,waited hour check paphos business check staff utterly incompetent flight crew business class removed ruck sack flight bin without consent make way another customer luggage coerced luggage foot throughout flight utterly outrageous last thing would expect ba business class,-0.8706,Negative
19,19,great experience outset poorly managed bused u parking slot u wait minute bus plane ready ba business class business class tired small generally worth ticket price table sit straight arm rest secure terrible screen patch first class airline apparently ba think long way go,0.7003,Positive
20,20,boarding difficult caused vast majority passenger carrying much hand luggage fa friendly seat ba european flight extremely narrow choice breakfast surprising champagne castelau european flight better quality brand used club intercontinental flight nothing wrong flight however pleasant due unpleasant seat waiting time brussels luggage minute acceptable,0.9343,Positive
21,21,boarding started delay minute everybody could see member team arrive en minute announced boarding time wait outside nearly minute hot unfortunately flying barbados london club class underwhelming experience ba performing great performance international flight anymore lucky new configuration welcome aboard champagne fruit juice glass filled level one inch far cheaper brand champagne heidsieck monopole ro champagne available wine also poor french wine cognac also available anymore meal sub par steak replaced beef stew fa made clear dessert cheese hour flight ice available minimal information flight deck breakfast suitable business class fa friendly others far pleasant experience despite high fare,0.9509,Positive
22,22,absolutely horrible customer service never fly left toronto london missed connecting flight london mumbai book different airline pay cost cancelled return flight week later mumbai toronto without notifying u happened find tried check day stuck mumbai small kid return flight first last time flying,-0.8553,Negative
23,23,ba used much like onboard crew check staff lacked interest job safety point make eye contact ask security question counter opened minute late crew cph wonderful announcement loud many maybe grumpy took le get lhr self service transfer lgw breeze crew po sector ok aisle seat bumped cabin crew booty continuously hour fault could never relax fully one caribbean crew excelled joined carnival spirit passenger feeling onboard wonder ba management ever tasted food onboard absolutely tasteless worst saved choosing ba klm reason chose klm definitely league ba many aspect need change airport,0.9132,Positive
24,24,ba first even best business class sky cabin long tooth service extremely inattentive lackadaisical waiting hour offered dinner drink dessert nothing awful value money,0.4148,Neutral
25,25,worst business class experience ground crew singapore friendly ended switching lounge ba qf aircraft late hour cabin crew business class unfriendliest crew experienced one smiled welcomed board body checking though flight wanted anything found seat sat waited someone offer refreshment nobody came stewardess approached passenger sitting infront offer refreshment said looked made eye contact looked walked straight past observing passenger crew assist lady struggling put carry luggage overhead entire flight staff felt like hated flight want work disembarking walked past crew one saying goodbye thank passenger food average cocktail ok wine selection average,0.6597,Positive
26,26,quite possibly worst business class ever flown barely rate premium economy ba suggesting offering premium seating regional route europe route ba crammed seat close together experience like flying discount airline buyer beware point upgrading business class ensuring middle seat empty bag board first seat extremely uncomfortable really reclined flight entertainment even app many discount airline use regional flight upon time ba used good airline maybe still long haul truly awful short haul five hour flight actually short haul might well save money book cheaper airline staff courteous professional issue quality product price,0.8399,Positive
27,27,never flying ba first last flying singapore transit sydney auckland destination firstly hour delay flight singapore fine received email advance could head slightly later confirmed staff singapore make fine connecting flight since hour delay v hour transit arrived sydney flight fine ba staff decent knew close boarding time rushed check get international transit flight ushered downstairs catch shuttle bus queuing long time scanned boarding pas said taken flight notified prior find transfer desk request book connecting flight rushed quickly could waste time lady qantas rep told needed speak menzies rep matter gave instruction find menzies rep rushed boarding gate asiana flight speak menzies rep busy boarding passenger waited side passenger board told head another transfer desk book connecting flight disgruntled passenger arrived next available flight night meant arrived sydney wait close hour get next flight aussie visa need one per booked flight granted day stay given meal voucher sent hunt good place rest sleep nap many cafe restaurant rejected meal voucher way finally got food ultimately booked flight delayed another min stress anxiety fatigue hassle caused ba poor booking system filed formal complaint request compensation waiting hear back,-0.9186,Negative
28,28,trip mexico city opportunity experience ba long haul business class first time extremely underwhelming first boarding flight mexico city done bus every inch bus filled passenger even breath club world experience personalised make feel special flight crew giving welcome drink giving free food food bank offered non alcoholic choice due sitting last row business class cabin rude serving attitude happened flight attendant serving ice cream mid flight way literally threw ice cream head middle seat covered side make flight attendant hard reach striking issue cabin state seat old style yin yang seat looked pretty old storage space functionality working struggle entertainment screen working well quite unstable flight attendant playing security way neither seat area playing safety video flight attendant demonstrate security instruction manually way crew opened screen security demonstration kept closing asked way keep screen open flight attendant joked saying tell pilot fly angle screen pulled stay open found attitude unacceptable screen old bad quality quite underwhelmed food provided board looked great menu card quite bad served would recommend ba business class product based experience,0.9703,Positive
29,29,upgraded check club europe seat excellent experience ba check airport quick smooth friendly staff fast track headed gallery lounge lhr exceeded expectation food really good superb view runway flight great people remarked legroom good even club europe found fine hour flight afternoon tea delicious cabin crew excellent airport minute landing ba superb job flight,0.988,Positive
30,30,bought return trip ba webjet australia last year would fly sydney porto middle june problem return earlier australia requested change date march january point ba partner changed detail return flight many time problem problem although flexible date refused fly back buy ticket another company travel australia later asked change return date january next year turned keep mind negative experience ba booking future trip,-0.9022,Negative
31,31,poor start finish six month purchasing ticket added extra bag exorbitant cost transaction failed make system rang ba customer service cut without reply lhr manager summoned verify printed receipt payment assured would problem return trip wrong experience li board hour delay late discovery technical fault old plane uncomfortable seat minimal legroom soggy cookie small bottle water offered free return trip even uncomfortable seat made worse extra recline passenger front enjoyed due knackered seat upon time ba stood something longer next time tap much newer plane,-0.9477,Negative
32,32,communication customer service non existent make pay seat return flight madrid london ticket premium economy time check able ba mad mad lhr madrid issued boarding pas changed seat f f worst seat ever explained rudeness madrid plane changed section business premium send back apology answer complaint low cost airline treat better refund seat received zero apology,-0.8934,Negative
33,33,supposed flight cancelled hour takeoff nearly month ba finally responded compensation claim confirming due statutory compensation another month later still received despite chasing according ba bank must lost payment apparently problem experience great airline customer service better worst low cost carrier,-0.6369,Negative
34,34,fear ba flight operated finnair business class seat offer leg room ba offering service could better food ba good excellent flight arriving much ahead schedule delay disembarking one available lhr pilot bridge,0.6124,Positive
35,35,flown ba five time western usa england always decent service never problem website impossible navigate terrible take endless repeating circle loop never lead resolution lost suitcase spent hour upon arrival lisbon trying navigate website frustrating fruitless three day trip still waiting clothing toiletry electronics talk real person impossible even quit thinking spent secure seat economy turned extra legroom paid extra nothing done ba whoop quite still get home,-0.0976,Negative
36,36,london heathrow istanbul start half term school holiday flight busy indeed boarding quite well managed neatly presented pleasant gate agent one went way assist elderly passenger mobility issue felt singled member ba crew insisted small bag taken checked passenger large bag stopped taking onto flight flight felt staff member unprofessional towards aisle seat spoke length couple sitting next country origin may well invisible member cabin crew disappeared returned selection drink snack business class compatriot managed spill liquid even acknowledge clean ife even route map follow journey rather clinical flight exceptionally basic received small bottle water two broken digestive biscuit wifi work ridiculous skyshop accessible either asked coffee cabin crew member kissed teeth low ba fallen also noted tension member cabin crew colleague good enough disembarkation remarkably orderly civilized captain made effort engage passenger flight sensible update,0.6318,Positive
37,37,jan th booked last minute transatlantic flight ireland attend funeral close friend mine nature trip bad enough vacation transatlantic leg flight ba airline terrible experience baby cry right next good portion flight ba fault continue set stage mid flight close bathroom middle plane seat j right behind one bathroom started leaking sewage passenger compartment could see water coming toward soon foot imagine smell great made bad trip worse got new pair boot contacted ba explained great detail happened response essentially sorry contacted verify formal response responded offering euro voucher use future ba flight little value contacted giving another chance make right nothing fault screaming baby fault restroom overflowed created disgusting mess soiled boot fault made effort make right inconvenience health safety issue far tell one got sewage foot think completely unacceptable everything avoid flying ba future,-0.9113,Negative
38,38,british airway gold guest list member lifetime privilege spite given britsh wherever possible take ten trans ocean trip year fortunate able fly first class unfortunately british longer first class product sell one name first class price fairness deliver would consider good business class experience point airline sell business class fact better british first class experience qatar emirate flown many million mile british last week completed around world trip emirate qantas million ba mile never experience good experience ek qantas long time ago food beverage service ba truly extraordinary today would bit stretch even call ordinary sad decline seat comfort first lounge food beverage need serious rework first class traveler british option sad truly sad,0.1764,Neutral
39,39,another case reviewing british airway flight actually provided booked several month ago london casablanca via madrid madrid casablanca leg iberia returning marrakech direct ba first marrakech flight cancelled rebook royal air maroc ba changed london madrid leg operated iberia instead booking ba com leg operated ba none ba flight transfer paid seat selection london madrid got arrange refund payment point airline offering service taking money service decide later cannot bothered provide paid good faith giving cannot mark zero reflect zero service received,0.7942,Positive
40,40,memorable day january th family embarked journey london heathrow terminal destined glasgow little anticipate series event would unfold shaping travel experience tale exceptional service unwavering dedication navigated bustling corridor airport journey encountered unexpected hurdle juncture found grappling booking complication compounded banking delay amid quandary sought assistance british airway personnel terminal hoping salvage travel plan enter mr sathies beacon hope amidst chaos demeanour exuding empathy professionalism mr sathies swiftly assessed situation hand despite setback wasted time springing action exploring every avenue mitigate impact unforeseen challenge faced sequence event unfolded remarkable clarity mr sathies tirelessly liaised various stakeholder including senior colleague managerial counterpart mr gurvir singh dhillon collaborative effort culminated solution exceeded expectation mr sathies unwavering dedication mr gurvir singh dhillon steadfast support travel arrangement salvaged without incurring additional cost despite initial uncertainty family able proceed journey embarking flight glasgow renewed sense gratitude appreciation exceptional service rendered british airway reflect upon precise sequence event transpired fateful day filled profound gratitude towards mr sathies mr gurvir singh dhillon entire british airway team meticulous attention detail unwavering commitment customer satisfaction reaffirmed faith british airway paragon excellence within aviation industry,0.9916,Positive
41,41,actually get fly ba cancelled flight day notice refused offer acceptable alternative resulting people losing holiday river cruise since appears standard protocol ignored every communication regarding obligation compensation option pursue via official channel,-0.4767,Negative
42,42,possibly worse check experience ever ever took nearly minute phone call numerous staff check u redemption flight account utterly bizarre situation procedure done without hitch last year onboard disappointed old style club world seat meaning stepping fellow passenger use toilet earth still use feel dated saving grace quite often case fabulous cabin crew amazing fed back ba direct sing praise finger crossed return leg,0.7245,Positive
43,43,flew lhr ath club europe ba dec transfer jal flight back tokyo first great expectation service would enjoy board partly flight time le hour seat configuration club europe typical european business class middle seat empty afterward board remembering took route ba year ago got feel relaxed unobtrusive courteous service asked champagne refill couple time benign smile would come,0.9584,Positive
44,44,like british airway world traveller plus product seat comfy food good crew flight attentive friendly especially csm came round introduced u made sure comfortable bar closed half way flight cancun uplift alcoholic drink cancun juice water tea coffee available full flight criticism british airway premium economy feel like actively try split family unless pay pre book seat majority drink served plastic glass inflight snack available hour flight upgraded version economy airline like qantas singapore airline business minus still worth extra though,0.9524,Positive
45,45,come boarding cabin luggage taken plane full asked take cabin large notebook electronics nothing change sitting plane holding notebook several pack luggage think stand stuff hand passport control line warsaw people around come plane cabin luggage,0.4767,Neutral
46,46,stinking nappy changed business cabin throughout flight miami four u one family travelling british airway business british airway gold card member member british airway executive club since ever fly british airway first class business class become habit fly ba trust safety regular long haul flight booked british airway first business next year often fly usa wife used virgin atlantic gold card however sadly returned ba virgin first class seat product even service virgin gold card department scale absolutely brilliant loved virgin lounge heathrow flight miami british airway one double decker aircraft big believe contributed appalling service perhaps familiarity breed contempt however whether business first view ba aircraft dirty bus sky food much better however flight distinguished smell poo throughout journey caused mother baby changing nappy within business class cabin instead wc try enjoying lunch glass wine air around permeated smell poo must three four baby nappy changed regularly cabin put screaming helped poo cabin crew nothing despite asked telephoned ba customer service ended speaking lady manchester ba office told ba cabin crew many year told changing nappy cabin allowed completely unacceptable particularly awful passenger trying enjoy meal wife flying first class british airway usa april also first class ticket usa booked december sent complaint ba customer relation behalf four member family travelled british airway december miami lhr put disgusting smell time quite dreadful received response offering voucher avios given cost four business class flight miami london british airway value loss enjoyment travelling stinking cabin per passenger given gold card holder extremely good customer clearly top one percent ba customer gold cardholder behave god know behave everybody else tell flying virgin atlantic gold member highly positive child young used fly ba first class time would dream changing nappy cabin cabin complained british airway asked changing nappy first class would allowed dinner service ignored question numerous business class flight booked ba course next month well first class flight booked,0.5542,Positive
47,47,worst service ever lost baggage delayed flight missed connection one helping get back british airway website broken let fill missing report give missing file report number way contact british airway dumbest ever ai chatbot,-0.9501,Negative
48,48,ba jan appreciate unprofessional attitude pilot flight scheduled departure advised boarding time whole flight full passenger waiting gate board cabin crew board pilot board sao paulo airport duty free branded shopping bag flight still boarding finally push back minute late captain came intercom announce delay due traffic crew hotel airport sorry captain whole plane saw pilot colleague board fifteen minute cabin crew clutching duty free pilot colleague still made time stop,0.296,Neutral
49,49,great experience could check online two separate part ba computer system talk lhr delightful check clerk sorted quickly manually boarded time luggage loading halted captain spotted technical issue engineer called time sorted missed slot took hour behind schedule flight uneventful plane clearly seen better day legroom appalling handout small bottle water soggy cookie made one wish day flying ba meant something special next time jet,0.9349,Positive
50,50,excited fly ba travelled long haul yr travelled australia many occasion pretty much travelled terrible experience ba become ryanair long haul travel riding previous good name reputation delayed hr terminal offered one glass water last minute meal additional drink offered charging point outdated work family five travelling flight entertainment also outdated movie available poor compared airline food atrocious flew ba lhr hongkong return cathay hk australia return comparison vast offered pre meal drink snack drink meal menu flight knew choice quality food vastly better cathay luggage lost nearly two hour hong kong arrived london one bag badly damaged unusable redeeming part crew return flight amazing severine angel helped make journey pleasant kid,0.7096,Positive
51,51,want warn everyone worst customer service experience ever really look like british airway customer service phone trained help anyway create problem rather solving last week called british airway make reservation family time explained customer service representative wanted make booking pay transfer mile american express representative told u could make reservation mile account asked u contact american express make transfer booking could made conversation recorded british airway could checked immediately called amex within minute solicited transfer k mile amex clearly stated u whether sure transfer reversible said fine since checked previously british airway called british airway immediately make reservation miami confirmed mile arrived account surprise told u space even one seat miami could use mile explained situation led believe could flight mile transferred mile went deaf ear called german office absolutely unhelpful also called uk customer service unhelpful manager able open flight u mile kept repeating possible even though paid flight got seat also seat available would gold status end british airway took absolutely responsibility causing problem give u solution kept mile pay trip miami service customer company business every time call made u wait minute answer put u hold day waiting talking british airway hour day line minute time told lady agent hang phone long phone customer customer never help u,0.6436,Positive
52,52,paid business class travelling cairo london heathrow got economy seat difference economy middle seat vacant recline entertainment hr flight uncomfortable seat disgusting food put formal complaint day ago reply ba account x hacked got approached scammer posting even flagging ba nothing done disgusting avoid,-0.5324,Negative
53,53,plane extremely dirty chocolate smudged mine child seat wipe seat landed immediately realized left camera bag airplane overhead cabin would let back plane security reason went british airway team ground refused contact cabin crew threw massive fuss manager reluctantly agreed point cabin crew disembarked week sign camera assumed stolen complained british airway get automated generic response keep checking lost property zero customer service regular customer could mitigated willing help beginning disappointed,-0.8718,Negative
54,54,overall journey bad however end baggage arrival nearly took hour actual flight time baggage flight arriving delivered whereas baggage staff airport clue information baggage flight arrived raised hand saying anything poor communication customer facing skill,-0.5267,Negative
55,55,overall satisfied ground staff member yvr extremely helpful courteous month old seat good order comfortable standard modern day class seat although small washroom already starting look bit shabby cabin crew friendly professional meal service carried reasonable time flight choice option main meal leg journey month apart flight departed time unfortunately upon landing lhr unable deplane quite time due staffing issue lhr fault airline given frequent update situation flight manager flight deck,0.9296,Positive
56,56,always fly ba total shamble booked manchester london madrid ba first leg iberia nd try wherever possible avoid ba however manchester london late however ran ib flight got b gate boarding started group went board gate sounded alarm ba removed ib flight ba flight hour later ba reissued ticket ib could put back flight hour wasted ba total incompetence airline total disgrace crew nice typical ba crew oh im fabulous need nice paying passenger club europe cramped terrible food,-0.8281,Negative
57,57,first time using ba business class pleased service received one waiting check bag drop security minute used lounge b gate area found quiet plenty food drink offer boarding quick cabin x x layout seat although larger b c cabin behind seat food drink plenty full good quality service cabin crew excellent cabin manager lauren even made birthday card found wife special birthday departed early arrived jfk early well thing disliked paying select seat free wi fi,0.9349,Positive
58,58,extremely rude ground service non rev flying london connection layover gate agent extremely rude forced check carry suitcase explanation oversized however put sizer fit perfectly without force plane fully booked lot room overhead gate agent insistent rushed u regard fact would redo security order get bag switching airline needed carry due non rev status flight good attendant polite helpful complains extremely unhappy gate agent service understand pleasant job frankly would overjoyed work either explain inconvenienced fair explanation attention,0.8197,Positive
59,59,son flew geneva last sunday skiing holiday le arc flight cancelled moment prior boarding transferred flight departing three half hour later got delayed three hour load food plane forgot load baggage business class passenger earlier flight problem happen complex operation totally unacceptable service one receives problem offshore call centre unhelpful obstructive wanting fob issue getting customer call special help line merely refer one webpage cut web page often unable give information updated often refuse update input time please try later access people willing help empowered help actually move situation forward way sitting hotel waiting bag arrive two half day unable ski due entire wardrobe case outdated luggage tracking system suitacase geneva day ago sat one willing step get delivered incredibly heartless incompetent company,-0.7884,Negative
60,60,price paid bought sale decent experience although club class business class seat offer legroom economy class using short haul fleet hour flight fast track security honoured lounge istanbul airport crowded also open public pay usage causing long queue entry badly organised boarding smooth cabin crew friendly service hit miss eg people got welcome half cabin automatically offered coffee dinner half however drink replenished generously regularly meal good choice three main menu,0.9081,Positive
61,61,flight left time arrived half hour earlier scheduled thanks strong tail wind flight full catering loaded economy passenger heathrow half hour small bottle water small packet corn snack nothing available even buy eat worse low cost carrier experience sense one light panel overhead seat towards back plan broken loose hanging unfortunate passenger head whole flight poor maintenance cabin would choose another airline route future one competitor offer full meal service route even economy cabin,-0.8591,Negative
62,62,poor business class product ba even close airline leader ever way sell seat layout cabin feel cramped food business class economy quality served china dish however price course premier level positive whole fight return cabin crew fantastic felt genuinely sorry try flog poor product would fly ba business option choice,-0.2263,Negative
63,63,review lhr syd lhr ba ba business class configuration giving space privacy easy aisle access seat reclines comfortable flat bed good quality pillow duvet privacy sliding door good storage space around seat charging point flight time delay gluten free meal poor quality presentation warm processed meat two bland slice gf bread apparently business class breakfast two sector main course choice offered bland fish served single small tray covered foil business class condensation formed dish reheated probably chilled offering sitting weak watery liquid one crew member appeared genuinely apologetic meekly served one meal ba also serve gf offering economy economy plus first long haul flight advice gf take food dine lounge care ba hour travelling companion good regular meal told choice main course flight crew gave impression job covering basic rather welcoming engaging usual hospitality industry waffle service little substance delivered,0.9705,Positive
64,64,absolutely pathetic business class product ba even remotely competitive international airline business class market old outdated across seating make typing mistake either climb across someone someone climb across gain aisle access crew must also hate layout since reach little window opening provide service passenger center seat ba like european based airline factual intra european business class product even though promote sell business class intra europe flight feature seating throughout aircraft difference middle seat left empty business class passenger get meal drink justify higher cost ba trans atlantic business class product slightly better narrow across seating biggest surprise li lhr lhr iah flight ba fact substantially improved food quality shocking unfortunately served worst business class configuration international airline flown entertainment system small screen laptop screen twice size like airline offering decade ago flight crew pleasant perfunctory best one expect ba crew ba simply never match quality carrier like singapore emirate qatar etihad eva ana japan air new zealand qantas many others ba compete u based airline like delta american united also even universe term high quality business class product one biggest slap face ba expects business class passenger pay select seat even though paid thousand dollar fly business class several hundred u dollar trans atlantic flight wait hour flight time allowed select seat cost certainly another ba management decision made without functioning brain,0.9552,Positive
65,65,overall bad staff look tired overworked trying best weird seat g going going home button press seat recline stiff get help flight get work another button also stiff bring leg rest awkward thing come far enough use leg obstructs foot really get help activate stiff button one point lady next pressing button tried recline sit put leg rest back gave called flight attendant also trouble ba please give maintenance food one three menu choice available time got premium ec pasta bad christmas turkey dinner offered load popular available minute meal service breakfast unidentified soggy pastry thing cardboard tube disgusting offered return journey cold pastry fruit would much nicer tea coffee hot least overall would say air canada provides much superior premium ec service ba choose ba,0.4728,Neutral
66,66,first flight british airway year usual fault connecting little interaction ground staff staff lounge friendly helpful cabin crew flight great welcoming friendly meal delicious shortage drink offered seat economy seat middle row blocked recline arrived stockholm little early snow shower nice welcome back stockholm bag checked jfk delivered safely within min arriving,0.9723,Positive
67,67,recently encountered highly disappointing experience british airway specifically regarding customer service initial flight leg canceled rebooked connection london heathrow reduced mere hour minute realizing impracticality promptly contacted british airway within minute request reasonable layover hour shockingly customer support representative flatly refused citing inability change flight despite explaining logistical challenge short layover terminal change requiring additional security procedure received assistance add frustration representative inaccurately noted account presented multiple option conversation moreover use military time format lack initial option provided exacerbated communication issue phone email support proved equally incompetent informed customer service outsourced india allegedly contributing subpar service experience left struggling rebook flight also strong resolve avoid british airway future lack assistance blame shifting overall incompetence customer service make worst experience yet strongly advise others steer clear british airway appalling customer service,-0.9585,Negative
